Date,Ticker,Open,High,Low,Close,Adj Close,Volume
,,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
2023-01-23,MSFT,241.10000610351562,245.1699981689453,239.64999389648438,242.5800018310547,236.9156036376953,31934000
2023-01-24,MSFT,242.5,243.9499969482422,240.44000244140625,242.0399932861328,236.38819885253906,40234400
2023-01-25,MSFT,234.47999572753906,243.3000030517578,230.89999389648438,240.61000061035156,234.99159240722656,66526600
2023-01-26,MSFT,243.64999389648438,248.30999755859375,242.0,248.0,242.20901489257812,33454500
2023-01-27,MSFT,248.99000549316406,249.8300018310547,246.8300018310547,248.16000366210938,242.3653106689453,26498900
2023-01-30,MSFT,244.50999450683594,245.60000610351562,242.1999969482422,242.7100067138672,237.04254150390625,25867400
2023-01-31,MSFT,243.4499969482422,247.9499969482422,242.9499969482422,247.80999755859375,242.0234832763672,26541100
2023-02-01,MSFT,248.0,255.17999267578125,245.47000122070312,252.75,246.84815979003906,31259900
2023-02-02,MSFT,258.82000732421875,264.69000244140625,257.25,264.6000061035156,258.4214782714844,39940400
2023-02-03,MSFT,259.5400085449219,264.20001220703125,257.1000061035156,258.3500061035156,252.31736755371094,29077300
2023-02-06,MSFT,257.44000244140625,258.29998779296875,254.77999877929688,256.7699890136719,250.77426147460938,22518000
2023-02-07,MSFT,260.5299987792969,268.7699890136719,260.0799865722656,267.55999755859375,261.3123474121094,50841400
2023-02-08,MSFT,273.20001220703125,276.760009765625,266.2099914550781,266.7300109863281,260.5016784667969,54686000
2023-02-09,MSFT,273.79998779296875,273.9800109863281,262.79998779296875,263.6199951171875,257.4643249511719,42375100
2023-02-10,MSFT,261.5299987792969,264.0899963378906,260.6600036621094,263.1000061035156,256.9564514160156,25818500
2023-02-13,MSFT,267.6400146484375,274.6000061035156,267.1499938964844,271.32000732421875,264.9845275878906,44630900
2023-02-14,MSFT,272.6700134277344,274.9700012207031,269.2799987792969,272.1700134277344,265.8146667480469,37047900
2023-02-15,MSFT,268.32000732421875,270.7300109863281,266.17999267578125,269.32000732421875,263.69000244140625,28922400
2023-02-16,MSFT,264.0199890136719,266.739990234375,261.8999938964844,262.1499938964844,256.669921875,29603600
2023-02-17,MSFT,259.3900146484375,260.0899963378906,256.0,258.05999755859375,252.66539001464844,30000100
2023-02-21,MSFT,254.47999572753906,255.49000549316406,251.58999633789062,252.6699981689453,247.3880615234375,28397400
2023-02-22,MSFT,254.08999633789062,254.33999633789062,250.33999633789062,251.50999450683594,246.25230407714844,22491100
2023-02-23,MSFT,255.55999755859375,256.8399963378906,250.47999572753906,254.77000427246094,249.4441375732422,29219100
2023-02-24,MSFT,249.9600067138672,251.0,248.10000610351562,249.22000122070312,244.0102081298828,24990900
2023-02-27,MSFT,252.4600067138672,252.82000732421875,249.38999938964844,250.16000366210938,244.9305419921875,21190000
2023-02-28,MSFT,249.07000732421875,251.49000549316406,248.72999572753906,249.4199981689453,244.2060089111328,22491000
2023-03-01,MSFT,250.75999450683594,250.92999267578125,245.7899932861328,246.27000427246094,241.12185668945312,27565300
2023-03-02,MSFT,246.5500030517578,251.39999389648438,245.61000061035156,251.11000061035156,245.86068725585938,24808200
2023-03-03,MSFT,252.19000244140625,255.6199951171875,251.38999938964844,255.2899932861328,249.9532928466797,30760100
2023-03-06,MSFT,256.42999267578125,260.1199951171875,255.97999572753906,256.8699951171875,251.50027465820312,24109800
2023-03-07,MSFT,256.29998779296875,257.69000244140625,253.38999938964844,254.14999389648438,248.83712768554688,21473200
2023-03-08,MSFT,254.0399932861328,254.5399932861328,250.80999755859375,253.6999969482422,248.39651489257812,17340200
2023-03-09,MSFT,255.82000732421875,259.55999755859375,251.5800018310547,252.32000732421875,247.04537963867188,26653400
2023-03-10,MSFT,251.0800018310547,252.7899932861328,247.60000610351562,248.58999633789062,243.39337158203125,28333900
2023-03-13,MSFT,247.39999389648438,257.9100036621094,245.72999572753906,253.9199981689453,248.6119384765625,33339700
2023-03-14,MSFT,256.75,261.07000732421875,255.86000061035156,260.7900085449219,255.33831787109375,33620300
2023-03-15,MSFT,259.9800109863281,266.4800109863281,259.2099914550781,265.44000244140625,259.8911437988281,46028000
2023-03-16,MSFT,265.2099914550781,276.55999755859375,263.2799987792969,276.20001220703125,270.4261779785156,54768800
2023-03-17,MSFT,278.260009765625,283.3299865722656,276.32000732421875,279.42999267578125,273.5886535644531,69527400
2023-03-20,MSFT,276.9800109863281,277.4800109863281,269.8500061035156,272.2300109863281,266.5392150878906,43466600
2023-03-21,MSFT,274.8800048828125,275.0,269.5199890136719,273.7799987792969,268.0567626953125,34558700
2023-03-22,MSFT,273.3999938964844,281.0400085449219,272.17999267578125,272.2900085449219,266.59796142578125,34873300
2023-03-23,MSFT,277.94000244140625,281.05999755859375,275.20001220703125,277.6600036621094,271.855712890625,36610900
2023-03-24,MSFT,277.239990234375,280.6300048828125,275.2799987792969,280.57000732421875,274.7048645019531,28172000
2023-03-27,MSFT,280.5,281.4599914550781,275.5199890136719,276.3800048828125,270.6023864746094,26840200
2023-03-28,MSFT,275.7900085449219,276.1400146484375,272.04998779296875,275.2300109863281,269.4764709472656,21878600
2023-03-29,MSFT,278.9599914550781,281.1400146484375,278.4100036621094,280.510009765625,274.6460876464844,25087000
2023-03-30,MSFT,284.2300109863281,284.4599914550781,281.4800109863281,284.04998779296875,278.112060546875,25053400
2023-03-31,MSFT,283.7300109863281,289.2699890136719,283.0,288.29998779296875,282.273193359375,32766000
2023-04-03,MSFT,286.5199890136719,288.2699890136719,283.95001220703125,287.2300109863281,281.22564697265625,24883300
2023-04-04,MSFT,287.2300109863281,290.45001220703125,285.6700134277344,287.17999267578125,281.17669677734375,25824300
2023-04-05,MSFT,285.8500061035156,287.1499938964844,282.9200134277344,284.3399963378906,278.3960266113281,22064800
2023-04-06,MSFT,283.2099914550781,292.0799865722656,282.0299987792969,291.6000061035156,285.50433349609375,29770300
2023-04-10,MSFT,289.2099914550781,289.6000061035156,284.7099914550781,289.3900146484375,283.3404846191406,23103000
2023-04-11,MSFT,285.75,285.9800109863281,281.6400146484375,282.8299865722656,276.9176025390625,27276600
2023-04-12,MSFT,284.7900085449219,287.010009765625,281.9599914550781,283.489990234375,277.56378173828125,27403400
2023-04-13,MSFT,283.5899963378906,289.8999938964844,283.1700134277344,289.8399963378906,283.7810974121094,24222700
2023-04-14,MSFT,287.0,288.4800109863281,283.69000244140625,286.1400146484375,280.1583557128906,20987900
2023-04-17,MSFT,289.92999267578125,291.6000061035156,286.1600036621094,288.79998779296875,282.7628479003906,23836200
2023-04-18,MSFT,291.57000732421875,291.760009765625,287.010009765625,288.3699951171875,282.3417663574219,20161800
2023-04-19,MSFT,285.989990234375,289.04998779296875,284.5400085449219,288.45001220703125,282.4200744628906,17150300
2023-04-20,MSFT,285.25,289.0299987792969,285.0799865722656,286.1099853515625,280.12896728515625,23244400
2023-04-21,MSFT,285.010009765625,286.2699890136719,283.05999755859375,285.760009765625,279.7863464355469,21676400
2023-04-24,MSFT,282.0899963378906,284.95001220703125,278.7200012207031,281.7699890136719,275.8797607421875,26611000
2023-04-25,MSFT,279.510009765625,281.6000061035156,275.3699951171875,275.4200134277344,269.6625061035156,45772200
2023-04-26,MSFT,296.70001220703125,299.57000732421875,292.7300109863281,295.3699951171875,289.1954650878906,64599200
2023-04-27,MSFT,295.9700012207031,305.20001220703125,295.25,304.8299865722656,298.45770263671875,46462600
2023-04-28,MSFT,304.010009765625,308.92999267578125,303.30999755859375,307.260009765625,300.83685302734375,36469600
2023-05-01,MSFT,306.9700012207031,308.6000061035156,305.1499938964844,305.55999755859375,299.1724548339844,21294100
2023-05-02,MSFT,307.760009765625,309.17999267578125,303.9100036621094,305.4100036621094,299.0255432128906,26404400
2023-05-03,MSFT,306.6199951171875,308.6099853515625,304.0899963378906,304.3999938964844,298.03668212890625,22360800
2023-05-04,MSFT,306.239990234375,307.760009765625,303.3999938964844,305.4100036621094,299.0255432128906,22519900
2023-05-05,MSFT,305.7200012207031,311.9700012207031,304.2699890136719,310.6499938964844,304.1559753417969,28197100
2023-05-08,MSFT,310.1300048828125,310.20001220703125,306.0899963378906,308.6499938964844,302.1978454589844,21318600
